,Optimal Height,Optimal Value,Scenario
0,[12. 12. 12. 12. 12. 12. 12.],10509643600.623997,1
1,[13. 13. 13. 13. 13. 13. 13.],14568983891.11849,1
2,[14. 14. 14. 14. 14. 14. 14.],19631923925.333202,1
3,[12. 12. 12. 12. 12. 12. 12.],11304477519.038054,1
4,[12. 12. 12. 12. 12. 12. 12.],11719549211.889782,1
5,[12. 12. 12. 12. 12. 12. 12.],12118723640.716967,1
6,[13. 13. 13. 13. 13. 13. 13.],14982201031.36177,1
7,[14. 14. 14. 14. 14. 14. 14.],17478305525.15208,1
8,[14. 14. 14. 14. 14. 14. 14.],17898011339.25796,1
9,[12. 12. 12. 12. 12. 12. 12.],9703337163.448162,1
10,[13. 13. 13. 13. 13. 13. 13.],13346124240.884752,1
11,[13. 13. 13. 13. 13. 13. 13.],16217508288.270756,1
12,[13. 13. 13. 13. 13. 13. 13.],14165427203.149488,1
13,[12. 12. 12. 12. 12. 12. 12.],12122253027.847546,1
14,[13. 13. 13. 13. 13. 13. 13.],14161556313.961031,1
15,[13. 13. 13. 13. 13. 13. 13.],16638413638.50767,1
16,[12. 12. 12. 12. 12. 12. 12.],10914682107.18211,1
17,[12. 12. 12. 12. 12. 12. 12.],12525738157.362556,1
18,[13. 13. 13. 13. 13. 13. 13.],15384614093.223564,1
19,[14. 14. 14. 14. 14. 14. 14.],17052343146.390457,1
20,[13. 13. 13. 13. 13. 13. 13.],15808044482.009092,1
21,[12. 12. 12. 12. 12. 12. 12.],9704301936.949099,1
22,[14. 14. 14. 14. 14. 14. 14.],18339043603.438843,1
23,[14. 14. 14. 14. 14. 14. 14.],18760424564.846577,1
24,[17. 17. 17. 17. 17. 17. 17.],32983674986.526836,1
25,[14. 14. 14. 14. 14. 14. 14.],20074378568.324306,1
26,[12. 12. 12. 12. 12. 12. 12.],10918891334.233067,1
27,[14. 14. 14. 14. 14. 14. 14.],17465672386.142418,1
28,[14. 14. 14. 14. 14. 14. 14.],17045468487.344475,1
29,[14. 14. 14. 14. 14. 14. 14.],18775135226.000725,1
30,[15. 15. 15. 15. 15. 15. 15.],22857006826.996605,1
31,[14. 14. 14. 14. 14. 14. 14.],20075570788.946712,1
32,[14. 14. 14. 14. 14. 14. 14.],19639480376.16209,1
33,[14. 14. 14. 14. 14. 14. 14.],18764638739.327496,1
34,[13. 13. 13. 13. 13. 13. 13.],14572673613.690353,1
35,[13. 13. 13. 13. 13. 13. 13.],14160694417.409924,1
36,[13. 13. 13. 13. 13. 13. 13.],13341006285.264322,1
37,[14. 14. 14. 14. 14. 14. 14.],19639637414.875786,1
38,[13. 13. 13. 13. 13. 13. 13.],14149345400.124922,1
39,[14. 14. 14. 14. 14. 14. 14.],20513404520.071373,1
40,[13. 13. 13. 13. 13. 13. 13.],12935014429.350044,1
41,[14. 14. 14. 14. 14. 14. 14.],17904903206.661953,1
42,[13. 13. 13. 13. 13. 13. 13.],15807659030.843744,1
43,[13. 13. 13. 13. 13. 13. 13.],14987670909.357828,1
44,[13. 13. 13. 13. 13. 13. 13.],13349426855.274347,1
45,[14. 14. 14. 14. 14. 14. 14.],18770882078.857693,1
46,[13. 13. 13. 13. 13. 13. 13.],12934895728.902676,1
47,[13. 13. 13. 13. 13. 13. 13.],13754321647.600275,1
48,[13. 13. 13. 13. 13. 13. 13.],17057060440.799263,1
49,[12. 12. 12. 12. 12. 12. 12.],8883626818.405996,1
50,[13. 13. 13. 13. 13. 13. 13.],13334526326.155725,1
51,[14. 14. 14. 14. 14. 14. 14.],19203471527.831306,1
52,[12. 12. 12. 12. 12. 12. 12.],8894767038.990477,1
53,[14. 14. 14. 14. 14. 14. 14.],18346421238.110558,1
54,[12. 12. 12. 12. 12. 12. 12.],12114532533.056505,1
55,[11. 11. 11. 11. 11. 11. 11.],8081911125.389298,1
56,[14. 14. 14. 14. 14. 14. 14.],18759878593.865757,1
57,[13. 13. 13. 13. 13. 13. 13.],15799537999.692022,1
58,[12. 12. 12. 12. 12. 12. 12.],8885034664.830444,1
59,[12. 12. 12. 12. 12. 12. 12.],11721751484.57131,1
60,[15. 15. 15. 15. 15. 15. 15.],21412147080.06452,1
61,[13. 13. 13. 13. 13. 13. 13.],15811505067.43595,1
62,[13. 13. 13. 13. 13. 13. 13.],13754972280.479393,1
63,[13. 13. 13. 13. 13. 13. 13.],14155180938.13665,1
64,[11. 11. 11. 11. 11. 11. 11.],6498336708.060475,1
65,[12. 12. 12. 12. 12. 12. 12.],8889920925.132553,1
66,[12. 12. 12. 12. 12. 12. 12.],10908027586.223822,1
67,[14. 14. 14. 14. 14. 14. 14.],20080952757.725807,1
68,[13. 13. 13. 13. 13. 13. 13.],15810992202.848204,1
69,[14. 14. 14. 14. 14. 14. 14.],18342322801.283726,1
70,[13. 13. 13. 13. 13. 13. 13.],13331767463.89017,1
71,[13. 13. 13. 13. 13. 13. 13.],15394113528.716724,1
72,[14. 14. 14. 14. 14. 14. 14.],20509902352.729256,1
73,[14. 14. 14. 14. 14. 14. 14.],18776778746.831604,1
74,[11. 11. 11. 11. 11. 11. 11.],8497326822.568754,1
75,[12. 12. 12. 12. 12. 12. 12.],12127295949.597971,1
76,[13. 13. 13. 13. 13. 13. 13.],16213535862.654543,1
77,[13. 13. 13. 13. 13. 13. 13.],16208048956.269175,1
78,[12. 12. 12. 12. 12. 12. 12.],11304352317.62014,1
79,[12. 12. 12. 12. 12. 12. 12.],10093834244.578878,1
80,[11. 11. 11. 11. 11. 11. 11.],8485592222.180207,1
81,[14. 14. 14. 14. 14. 14. 14.],17049347687.625795,1
82,[12. 12. 12. 12. 12. 12. 12.],12113693466.054815,1
83,[14. 14. 14. 14. 14. 14. 14.],17473286677.78572,1
84,[13. 13. 13. 13. 13. 13. 13.],13332718011.102497,1
85,[14. 14. 14. 14. 14. 14. 14.],19642593790.781067,1
86,[13. 13. 13. 13. 13. 13. 13.],14576949310.699846,1
87,[12. 12. 12. 12. 12. 12. 12.],9297527372.723803,1
88,[12. 12. 12. 12. 12. 12. 12.],9295961792.014576,1
89,[14. 14. 14. 14. 14. 14. 14.],17473294989.251495,1
90,[13. 13. 13. 13. 13. 13. 13.],16221458614.286757,1
91,[16. 16. 16. 16. 16. 16. 16.],26423989649.982403,1
92,[13. 13. 13. 13. 13. 13. 13.],13755460601.923492,1
93,[10. 10. 10. 10. 10. 10. 10.],4504090440.076093,1
94,[12. 12. 12. 12. 12. 12. 12.],11712765414.74139,1
95,[12. 12. 12. 12. 12. 12. 12.],11721311747.054836,1
96,[15. 15. 15. 15. 15. 15. 15.],23841762470.42568,1
97,[14. 14. 14. 14. 14. 14. 14.],19640072377.405968,1
98,[12. 12. 12. 12. 12. 12. 12.],10097689979.780508,1
99,[14. 14. 14. 14. 14. 14. 14.],21427173001.387844,1
100,[14. 14. 14. 14. 14. 14. 14.],17472801798.602592,1
101,[14. 14. 14. 14. 14. 14. 14.],19646042467.85617,1
102,[14. 14. 14. 14. 14. 14. 14.],17042277275.56926,1
103,[13. 13. 13. 13. 13. 13. 13.],15392440506.674065,1
104,[14. 14. 14. 14. 14. 14. 14.],17904099319.775528,1
105,[15. 15. 15. 15. 15. 15. 15.],25881359069.4396,1
106,[14. 14. 14. 14. 14. 14. 14.],17901182924.471844,1
107,[14. 14. 14. 14. 14. 14. 14.],17483503632.95712,1
108,[13. 13. 13. 13. 13. 13. 13.],16634951557.015764,1
109,[13. 13. 13. 13. 13. 13. 13.],14971861271.476418,1
110,[11. 11. 11. 11. 11. 11. 11.],8898568117.045773,1
111,[15. 15. 15. 15. 15. 15. 15.],22868138863.760384,1
112,[13. 13. 13. 13. 13. 13. 13.],14154367523.61357,1
113,[14. 14. 14. 14. 14. 14. 14.],17475904457.78107,1
114,[12. 12. 12. 12. 12. 12. 12.],11315026893.466759,1
115,[14. 14. 14. 14. 14. 14. 14.],17909773120.63574,1
116,[13. 13. 13. 13. 13. 13. 13.],14984191734.44558,1
117,[11. 11. 11. 11. 11. 11. 11.],6883042649.859253,1
118,[13. 13. 13. 13. 13. 13. 13.],13752057534.747963,1
119,[12. 12. 12. 12. 12. 12. 12.],11314126812.347729,1
120,[13. 13. 13. 13. 13. 13. 13.],13335011731.174053,1
121,[12. 12. 12. 12. 12. 12. 12.],10913806462.600985,1
122,[9. 9. 9. 9. 9. 9. 9.],-1875761703.8495455,1
123,[12. 12. 12. 12. 12. 12. 12.],12535198976.69017,1
124,[15. 15. 15. 15. 15. 15. 15.],22366488593.261192,1
125,[14. 14. 14. 14. 14. 14. 14.],18767259981.828705,1
126,[12. 12. 12. 12. 12. 12. 12.],10902088825.99252,1
127,[13. 13. 13. 13. 13. 13. 13.],16209399376.94621,1
128,[15. 15. 15. 15. 15. 15. 15.],22867728883.97164,1
129,[13. 13. 13. 13. 13. 13. 13.],16628082664.80798,1
130,[12. 12. 12. 12. 12. 12. 12.],12527831825.16241,1
131,[14. 14. 14. 14. 14. 14. 14.],17471053121.68575,1
132,[14. 14. 14. 14. 14. 14. 14.],19630586059.856674,1
133,[13. 13. 13. 13. 13. 13. 13.],15394019707.795479,1
134,[13. 13. 13. 13. 13. 13. 13.],14163787410.476082,1
135,[11. 11. 11. 11. 11. 11. 11.],7690432603.542227,1
136,[14. 14. 14. 14. 14. 14. 14.],20522420746.51643,1
137,[13. 13. 13. 13. 13. 13. 13.],14572418964.136906,1
138,[13. 13. 13. 13. 13. 13. 13.],16217560477.634268,1
139,[13. 13. 13. 13. 13. 13. 13.],14150632441.968847,1
140,[14. 14. 14. 14. 14. 14. 14.],18327627578.620842,1
141,[13. 13. 13. 13. 13. 13. 13.],14979394371.607038,1
142,[13. 13. 13. 13. 13. 13. 13.],14155336643.20286,1
143,[11. 11. 11. 11. 11. 11. 11.],7292548247.77774,1
144,[14. 14. 14. 14. 14. 14. 14.],19643672925.17385,1
145,[10. 10. 10. 10. 10. 10. 10.],4107815705.5487537,1
146,[14. 14. 14. 14. 14. 14. 14.],17911383564.779064,1
147,[13. 13. 13. 13. 13. 13. 13.],14985622911.907969,1
148,[12. 12. 12. 12. 12. 12. 12.],12123091087.986036,1
149,[13. 13. 13. 13. 13. 13. 13.],12935367662.458452,1
150,[11. 11. 11. 11. 11. 11. 11.],8486238953.166776,1
151,[14. 14. 14. 14. 14. 14. 14.],17050264199.252003,1
152,[12. 12. 12. 12. 12. 12. 12.],10097640913.413143,1
153,[14. 14. 14. 14. 14. 14. 14.],19208929678.9662,1
154,[13. 13. 13. 13. 13. 13. 13.],15387715812.618704,1
155,[13. 13. 13. 13. 13. 13. 13.],16639911039.712301,1
156,[14. 14. 14. 14. 14. 14. 14.],20970098244.59468,1
157,[11. 11. 11. 11. 11. 11. 11.],6886640739.360848,1
158,[13. 13. 13. 13. 13. 13. 13.],15805771214.718954,1
159,[13. 13. 13. 13. 13. 13. 13.],15398496280.574303,1
160,[14. 14. 14. 14. 14. 14. 14.],17475969696.922165,1
161,[13. 13. 13. 13. 13. 13. 13.],12927921289.22319,1
162,[14. 14. 14. 14. 14. 14. 14.],17906844520.189705,1
163,[13. 13. 13. 13. 13. 13. 13.],16205265302.553177,1
164,[13. 13. 13. 13. 13. 13. 13.],14976378159.023415,1
165,[13. 13. 13. 13. 13. 13. 13.],14573480375.254753,1
166,[14. 14. 14. 14. 14. 14. 14.],17040834176.91403,1
167,[13. 13. 13. 13. 13. 13. 13.],17058251367.54039,1
168,[13. 13. 13. 13. 13. 13. 13.],16631840309.270626,1
169,[12. 12. 12. 12. 12. 12. 12.],9689890276.86778,1
170,[15. 15. 15. 15. 15. 15. 15.],24843513445.58431,1
171,[11. 11. 11. 11. 11. 11. 11.],6500994284.698533,1
172,[14. 14. 14. 14. 14. 14. 14.],18768163152.437714,1
173,[14. 14. 14. 14. 14. 14. 14.],17480359984.57554,1
174,[12. 12. 12. 12. 12. 12. 12.],10909780347.574535,1
175,[14. 14. 14. 14. 14. 14. 14.],19634109169.09791,1
176,[14. 14. 14. 14. 14. 14. 14.],19630976231.87494,1
177,[13. 13. 13. 13. 13. 13. 13.],16208373172.760082,1
178,[14. 14. 14. 14. 14. 14. 14.],17480913449.244022,1
179,[12. 12. 12. 12. 12. 12. 12.],9694223831.060966,1
180,[14. 14. 14. 14. 14. 14. 14.],20526590856.935616,1
181,[12. 12. 12. 12. 12. 12. 12.],12523156097.17599,1
182,[13. 13. 13. 13. 13. 13. 13.],13755756495.290882,1
183,[13. 13. 13. 13. 13. 13. 13.],15392676877.970928,1
184,[12. 12. 12. 12. 12. 12. 12.],10914668021.774805,1
185,[12. 12. 12. 12. 12. 12. 12.],12528481208.54686,1
186,[14. 14. 14. 14. 14. 14. 14.],19198415617.769794,1
187,[13. 13. 13. 13. 13. 13. 13.],14572137519.213501,1
188,[14. 14. 14. 14. 14. 14. 14.],17048171289.010473,1
189,[13. 13. 13. 13. 13. 13. 13.],16638669434.877777,1
190,[14. 14. 14. 14. 14. 14. 14.],19204271818.42099,1
191,[12. 12. 12. 12. 12. 12. 12.],10496705278.531446,1
192,[10. 10. 10. 10. 10. 10. 10.],4103193657.4881577,1
193,[14. 14. 14. 14. 14. 14. 14.],19643058436.68259,1
194,[12. 12. 12. 12. 12. 12. 12.],12522623167.991442,1
195,[13. 13. 13. 13. 13. 13. 13.],14148892748.753574,1
196,[15. 15. 15. 15. 15. 15. 15.],23345305596.215343,1
197,[12. 12. 12. 12. 12. 12. 12.],11717726973.336157,1
198,[14. 14. 14. 14. 14. 14. 14.],17042166913.468613,1
199,[12. 12. 12. 12. 12. 12. 12.],12937077144.37002,1
200,[12. 12. 12. 12. 12. 12. 12.],11317246989.045345,1
201,[14. 14. 14. 14. 14. 14. 14.],20956413550.274235,1
202,[11. 11. 11. 11. 11. 11. 11.],8901508150.970554,1
203,[14. 14. 14. 14. 14. 14. 14.],17049055744.450378,1
204,[12. 12. 12. 12. 12. 12. 12.],11714812814.31559,1
205,[13. 13. 13. 13. 13. 13. 13.],14167133883.865177,1
206,[13. 13. 13. 13. 13. 13. 13.],14168119015.614012,1
207,[12. 12. 12. 12. 12. 12. 12.],12534649855.121376,1
208,[12. 12. 12. 12. 12. 12. 12.],10109559784.197334,1
209,[14. 14. 14. 14. 14. 14. 14.],19645003360.188602,1
210,[12. 12. 12. 12. 12. 12. 12.],10498163990.44918,1
211,[12. 12. 12. 12. 12. 12. 12.],10509820330.19547,1
212,[13. 13. 13. 13. 13. 13. 13.],15395193451.632866,1
213,[14. 14. 14. 14. 14. 14. 14.],20963578579.864777,1
214,[14. 14. 14. 14. 14. 14. 14.],18774754389.864044,1
215,[14. 14. 14. 14. 14. 14. 14.],17896227871.364666,1
216,[12. 12. 12. 12. 12. 12. 12.],12937600313.436058,1
217,[13. 13. 13. 13. 13. 13. 13.],13348066640.581032,1
218,[13. 13. 13. 13. 13. 13. 13.],14163768150.03122,1
219,[13. 13. 13. 13. 13. 13. 13.],16626256587.196476,1
220,[13. 13. 13. 13. 13. 13. 13.],16629175689.342152,1
221,[13. 13. 13. 13. 13. 13. 13.],15395286726.644602,1
222,[15. 15. 15. 15. 15. 15. 15.],21892052837.38479,1
223,[14. 14. 14. 14. 14. 14. 14.],18329360598.810066,1
224,[13. 13. 13. 13. 13. 13. 13.],15803325261.178827,1
225,[14. 14. 14. 14. 14. 14. 14.],20965382237.051266,1
226,[13. 13. 13. 13. 13. 13. 13.],13744574568.71486,1
227,[14. 14. 14. 14. 14. 14. 14.],19207238937.137447,1
228,[14. 14. 14. 14. 14. 14. 14.],18769450679.136898,1
229,[14. 14. 14. 14. 14. 14. 14.],17906185048.365543,1
230,[14. 14. 14. 14. 14. 14. 14.],17904762051.011246,1
231,[12. 12. 12. 12. 12. 12. 12.],9704999974.856302,1
232,[14. 14. 14. 14. 14. 14. 14.],21429961251.933567,1
233,[13. 13. 13. 13. 13. 13. 13.],16225004583.608955,1
234,[13. 13. 13. 13. 13. 13. 13.],14156320527.535135,1
235,[12. 12. 12. 12. 12. 12. 12.],12528356473.454735,1
236,[14. 14. 14. 14. 14. 14. 14.],20077400326.39152,1
237,[13. 13. 13. 13. 13. 13. 13.],12925870773.531754,1
238,[12. 12. 12. 12. 12. 12. 12.],11321216092.026735,1
239,[12. 12. 12. 12. 12. 12. 12.],10901307089.091324,1
240,[14. 14. 14. 14. 14. 14. 14.],17907276454.168728,1
241,[12. 12. 12. 12. 12. 12. 12.],12938911808.272537,1
242,[12. 12. 12. 12. 12. 12. 12.],10096458164.901302,1
243,[12. 12. 12. 12. 12. 12. 12.],12123987666.996397,1
244,[13. 13. 13. 13. 13. 13. 13.],17057646476.914597,1
245,[13. 13. 13. 13. 13. 13. 13.],13743017213.85989,1
246,[13. 13. 13. 13. 13. 13. 13.],16637849941.014881,1
247,[12. 12. 12. 12. 12. 12. 12.],11307069343.4929,1
248,[14. 14. 14. 14. 14. 14. 14.],17914360516.229156,1
249,[13. 13. 13. 13. 13. 13. 13.],16220962980.743944,1
250,[13. 13. 13. 13. 13. 13. 13.],13337505926.954247,1
251,[13. 13. 13. 13. 13. 13. 13.],13330718677.143007,1
252,[14. 14. 14. 14. 14. 14. 14.],19200448342.93594,1
253,[14. 14. 14. 14. 14. 14. 14.],17480244133.79246,1
254,[13. 13. 13. 13. 13. 13. 13.],14575242755.283236,1
255,[13. 13. 13. 13. 13. 13. 13.],15795060463.4581,1
256,[13. 13. 13. 13. 13. 13. 13.],12932295616.47151,1
257,[13. 13. 13. 13. 13. 13. 13.],16220358178.710135,1
258,[13. 13. 13. 13. 13. 13. 13.],12933133238.028362,1
259,[14. 14. 14. 14. 14. 14. 14.],17476496315.571495,1
260,[13. 13. 13. 13. 13. 13. 13.],13348101328.267168,1
261,[12. 12. 12. 12. 12. 12. 12.],9704283883.413582,1
262,[12. 12. 12. 12. 12. 12. 12.],12113975959.50961,1
263,[14. 14. 14. 14. 14. 14. 14.],18765709929.112167,1
264,[13. 13. 13. 13. 13. 13. 13.],13749287552.409945,1
265,[14. 14. 14. 14. 14. 14. 14.],18345494804.077717,1
266,[12. 12. 12. 12. 12. 12. 12.],11314378097.70544,1
267,[13. 13. 13. 13. 13. 13. 13.],15800522783.61697,1
268,[14. 14. 14. 14. 14. 14. 14.],17467482635.21845,1
269,[14. 14. 14. 14. 14. 14. 14.],17912921750.663475,1
270,[11. 11. 11. 11. 11. 11. 11.],6492989108.125802,1
271,[13. 13. 13. 13. 13. 13. 13.],14560304501.158754,1
272,[14. 14. 14. 14. 14. 14. 14.],17907157916.701885,1
273,[14. 14. 14. 14. 14. 14. 14.],19210050995.025166,1
274,[14. 14. 14. 14. 14. 14. 14.],17047070033.142115,1
275,[13. 13. 13. 13. 13. 13. 13.],12934701284.025616,1
276,[12. 12. 12. 12. 12. 12. 12.],12531653354.640175,1
277,[11. 11. 11. 11. 11. 11. 11.],5287241440.938676,1
278,[13. 13. 13. 13. 13. 13. 13.],14976248839.514595,1
279,[12. 12. 12. 12. 12. 12. 12.],11306304140.37365,1
280,[13. 13. 13. 13. 13. 13. 13.],16640213610.624228,1
281,[12. 12. 12. 12. 12. 12. 12.],10916731698.726683,1
282,[14. 14. 14. 14. 14. 14. 14.],17479794212.229935,1
283,[12. 12. 12. 12. 12. 12. 12.],12520728320.86535,1
284,[12. 12. 12. 12. 12. 12. 12.],12116091163.065653,1
285,[11. 11. 11. 11. 11. 11. 11.],6892369100.303674,1
286,[13. 13. 13. 13. 13. 13. 13.],15387026177.514639,1
287,[13. 13. 13. 13. 13. 13. 13.],13740080575.872118,1
288,[11. 11. 11. 11. 11. 11. 11.],5702155114.397627,1
289,[12. 12. 12. 12. 12. 12. 12.],12531390312.27022,1
290,[12. 12. 12. 12. 12. 12. 12.],12939475748.117828,1
291,[14. 14. 14. 14. 14. 14. 14.],17896536942.96464,1
292,[14. 14. 14. 14. 14. 14. 14.],18346354946.4713,1
293,[14. 14. 14. 14. 14. 14. 14.],20078885827.939735,1
294,[14. 14. 14. 14. 14. 14. 14.],18761480811.192997,1
295,[15. 15. 15. 15. 15. 15. 15.],21414877772.290314,1
296,[14. 14. 14. 14. 14. 14. 14.],20955227496.216156,1
297,[14. 14. 14. 14. 14. 14. 14.],19646420099.077755,1
298,[11. 11. 11. 11. 11. 11. 11.],8495752206.454065,1
299,[13. 13. 13. 13. 13. 13. 13.],16206549970.206999,1
300,[13. 13. 13. 13. 13. 13. 13.],13758556319.689798,1
301,[14. 14. 14. 14. 14. 14. 14.],19212724094.890217,1
302,[14. 14. 14. 14. 14. 14. 14.],18763970858.438683,1
303,[13. 13. 13. 13. 13. 13. 13.],17055946179.355812,1
304,[14. 14. 14. 14. 14. 14. 14.],17465159954.24308,1
305,[15. 15. 15. 15. 15. 15. 15.],24345736531.609135,1
306,[12. 12. 12. 12. 12. 12. 12.],9289115693.817373,1
307,[12. 12. 12. 12. 12. 12. 12.],10917338794.447239,1
308,[12. 12. 12. 12. 12. 12. 12.],10500956842.35883,1
309,[13. 13. 13. 13. 13. 13. 13.],14572440933.497334,1
310,[12. 12. 12. 12. 12. 12. 12.],11718911489.270897,1
311,[15. 15. 15. 15. 15. 15. 15.],21411984912.80367,1
312,[13. 13. 13. 13. 13. 13. 13.],16639093911.059614,1
313,[14. 14. 14. 14. 14. 14. 14.],20961749574.972084,1
314,[13. 13. 13. 13. 13. 13. 13.],16625123590.21461,1
315,[14. 14. 14. 14. 14. 14. 14.],17467537129.246273,1
316,[12. 12. 12. 12. 12. 12. 12.],9289428708.477783,1
317,[13. 13. 13. 13. 13. 13. 13.],13753617338.695179,1
318,[13. 13. 13. 13. 13. 13. 13.],12931435877.906263,1
319,[14. 14. 14. 14. 14. 14. 14.],17895970407.904007,1
320,[14. 14. 14. 14. 14. 14. 14.],19647898715.356983,1
321,[14. 14. 14. 14. 14. 14. 14.],17050401463.705782,1
322,[13. 13. 13. 13. 13. 13. 13.],15799743436.528578,1
323,[11. 11. 11. 11. 11. 11. 11.],8495705850.540368,1
324,[12. 12. 12. 12. 12. 12. 12.],12521603296.259829,1
325,[13. 13. 13. 13. 13. 13. 13.],14155746428.31156,1
326,[14. 14. 14. 14. 14. 14. 14.],19200951721.409603,1
327,[13. 13. 13. 13. 13. 13. 13.],14164296368.233614,1
328,[14. 14. 14. 14. 14. 14. 14.],19638438481.14263,1
329,[13. 13. 13. 13. 13. 13. 13.],12933267558.715391,1
330,[13. 13. 13. 13. 13. 13. 13.],14166431124.250574,1
331,[12. 12. 12. 12. 12. 12. 12.],12527251703.016808,1
332,[12. 12. 12. 12. 12. 12. 12.],10096538752.003237,1
333,[11. 11. 11. 11. 11. 11. 11.],6890514208.51769,1
334,[12. 12. 12. 12. 12. 12. 12.],12114938703.685484,1
335,[14. 14. 14. 14. 14. 14. 14.],19212245697.02444,1
336,[14. 14. 14. 14. 14. 14. 14.],20513811161.35935,1
337,[15. 15. 15. 15. 15. 15. 15.],21417752449.09018,1
338,[14. 14. 14. 14. 14. 14. 14.],17896392383.252808,1
339,[12. 12. 12. 12. 12. 12. 12.],10111280657.223412,1
340,[13. 13. 13. 13. 13. 13. 13.],14984430996.507578,1
341,[12. 12. 12. 12. 12. 12. 12.],11710290567.218946,1
342,[14. 14. 14. 14. 14. 14. 14.],17914013080.949394,1
343,[14. 14. 14. 14. 14. 14. 14.],19644543958.618095,1
344,[14. 14. 14. 14. 14. 14. 14.],19203762107.116867,1
345,[12. 12. 12. 12. 12. 12. 12.],12118445078.00423,1
346,[13. 13. 13. 13. 13. 13. 13.],17054772280.662512,1
347,[12. 12. 12. 12. 12. 12. 12.],10095771435.429327,1
348,[11. 11. 11. 11. 11. 11. 11.],8498313259.107494,1
349,[13. 13. 13. 13. 13. 13. 13.],14562361297.847437,1
350,[13. 13. 13. 13. 13. 13. 13.],15388321611.545372,1
351,[12. 12. 12. 12. 12. 12. 12.],11708209331.127169,1
352,[12. 12. 12. 12. 12. 12. 12.],12937559580.545921,1
353,[13. 13. 13. 13. 13. 13. 13.],16626283094.68408,1
354,[12. 12. 12. 12. 12. 12. 12.],11318237043.920593,1
355,[12. 12. 12. 12. 12. 12. 12.],12939317807.565786,1
356,[13. 13. 13. 13. 13. 13. 13.],14986698875.67067,1
357,[13. 13. 13. 13. 13. 13. 13.],14971543319.938705,1
358,[14. 14. 14. 14. 14. 14. 14.],17479617576.133255,1
359,[12. 12. 12. 12. 12. 12. 12.],10910032803.052782,1
360,[14. 14. 14. 14. 14. 14. 14.],21425465804.599426,1
361,[13. 13. 13. 13. 13. 13. 13.],17058094699.099115,1
362,[14. 14. 14. 14. 14. 14. 14.],20086244130.20323,1
363,[13. 13. 13. 13. 13. 13. 13.],14577119414.347584,1
364,[11. 11. 11. 11. 11. 11. 11.],8500407131.403193,1
365,[13. 13. 13. 13. 13. 13. 13.],14571134656.107742,1
366,[12. 12. 12. 12. 12. 12. 12.],12517928619.707722,1
367,[12. 12. 12. 12. 12. 12. 12.],11322964332.434696,1
368,[14. 14. 14. 14. 14. 14. 14.],20070696933.544716,1
369,[14. 14. 14. 14. 14. 14. 14.],20085351057.62798,1
370,[13. 13. 13. 13. 13. 13. 13.],14987637799.013807,1
371,[13. 13. 13. 13. 13. 13. 13.],13741963040.805529,1
372,[13. 13. 13. 13. 13. 13. 13.],15805916320.427837,1
373,[12. 12. 12. 12. 12. 12. 12.],9293776369.128674,1
374,[15. 15. 15. 15. 15. 15. 15.],21417199983.324776,1
375,[14. 14. 14. 14. 14. 14. 14.],20519522470.424458,1
376,[12. 12. 12. 12. 12. 12. 12.],10901614192.638968,1
377,[12. 12. 12. 12. 12. 12. 12.],9692448029.158606,1
